21.875000, 1.899902, 128.937500, 0
22.312500, 1.599609, 130.500000, 0
28.375000, 1.699707, 133.375000, 0
34.750000, 1.599609, 152.750000, 1
38.187500, 1.399902, 154.625000, 1
40.312500, 1.799805, 157.187500, 1
49.875000, 1.500000, 183.062500, 2
52.875000, 1.599609, 185.875000, 2
55.312500, 1.899902, 187.562500, 2
66.937500, 2.099609, 219.375000, 3
70.562500, 2.299805, 223.812500, 3
84.250000, 2.199707, 228.562500, 4
87.812500, 2.399902, 232.750000, 4
94.562500, 2.299805, 233.937500, 5
109.750000, 1.500000, 250.750000, 6
110.062500, 2.899902, 267.187500, 6
