21.894700, 1.900000, 128.950000, 0
22.346500, 1.600000, 130.547600, 0
28.383800, 1.700000, 133.429000, 0
34.761000, 1.600000, 152.762200, 1
38.234500, 1.400000, 154.654300, 1
40.332600, 1.800000, 157.237400, 1
49.932000, 1.500000, 183.104300, 2
52.876500, 1.600000, 185.876500, 2
55.347100, 1.900000, 187.576400, 2
66.982700, 2.100000, 219.398500, 3
70.567800, 2.300000, 223.825600, 3
84.279500, 2.200000, 228.567000, 4
87.832400, 2.400000, 232.795200, 4
94.588500, 2.300000, 233.967400, 5
109.789000, 1.500000, 250.765400, 6
110.102000, 2.900000, 267.238700, 6
